file,param,epoch,creation_utc,bytes
irtamc_fof2_1789167600.txt,fof2,1789167600,2026-09-15T01:49:09.079540+00:00,18088
irtamc_fof2_1789168500.txt,fof2,1789168500,2026-09-15T01:49:30.466684+00:00,18088
irtamc_fof2_1789169400.txt,fof2,1789169400,2026-09-15T01:49:46.029850+00:00,18088
irtamc_fof2_1789170300.txt,fof2,1789170300,2026-09-15T01:50:01.328201+00:00,18088
irtamc_fof2_1789171200.txt,fof2,1789171200,2026-09-15T01:50:16.999743+00:00,18088
irtamc_fof2_1789172100.txt,fof2,1789172100,2026-09-15T01:50:32.947346+00:00,18088
irtamc_fof2_1789173000.txt,fof2,1789173000,2026-09-15T01:51:05.691297+00:00,18088
irtamc_fof2_1789173900.txt,fof2,1789173900,2026-09-15T01:51:20.993159+00:00,18088
irtamc_fof2_1789174800.txt,fof2,1789174800,2026-09-15T01:51:36.427073+00:00,18088
irtamc_fof2_1789175700.txt,fof2,1789175700,2026-09-15T01:51:50.985816+00:00,18088
irtamc_fof2_1789176600.txt,fof2,1789176600,2026-09-15T01:52:11.435324+00:00,18088
irtamc_fof2_1789177500.txt,fof2,1789177500,2026-09-15T01:52:32.744921+00:00,18088
irtamc_fof2_1789178400.txt,fof2,1789178400,2026-09-15T02:00:14.893537+00:00,18088
irtamc_hmf2_1789114500.txt,hmf2,1789114500,2026-09-15T02:00:31.875613+00:00,18087
irtamc_hmf2_1789115400.txt,hmf2,1789115400,2026-09-15T02:01:05.410144+00:00,18087
irtamc_hmf2_1789116300.txt,hmf2,1789116300,2026-09-15T02:01:27.333227+00:00,18087
irtamc_hmf2_1789117200.txt,hmf2,1789117200,2026-09-15T02:01:43.814006+00:00,18087
irtamc_hmf2_1789118100.txt,hmf2,1789118100,2026-09-15T02:02:02.821651+00:00,18087
irtamc_hmf2_1789119000.txt,hmf2,1789119000,2026-09-15T02:02:18.082388+00:00,18087
irtamc_hmf2_1789119900.txt,hmf2,1789119900,2026-09-15T02:02:37.405677+00:00,18087
irtamc_hmf2_1789120800.txt,hmf2,1789120800,2026-09-15T02:02:52.353832+00:00,18087
irtamc_hmf2_1789121700.txt,hmf2,1789121700,2026-09-15T02:03:08.191865+00:00,18087
irtamc_hmf2_1789122600.txt,hmf2,1789122600,2026-09-15T02:03:23.592874+00:00,18087
irtamc_hmf2_1789123500.txt,hmf2,1789123500,2026-09-15T02:03:40.300751+00:00,18087
irtamc_hmf2_1789124400.txt,hmf2,1789124400,2026-09-15T02:04:14.594010+00:00,18087
irtamc_hmf2_1789125300.txt,hmf2,1789125300,2026-09-15T02:04:31.065631+00:00,18087
irtamc_hmf2_1789126200.txt,hmf2,1789126200,2026-09-15T02:04:46.472157+00:00,18087
irtamc_hmf2_1789127100.txt,hmf2,1789127100,2026-09-15T02:05:01.902331+00:00,18087
irtamc_hmf2_1789128000.txt,hmf2,1789128000,2026-09-15T02:05:17.423246+00:00,18087
irtamc_hmf2_1789128900.txt,hmf2,1789128900,2026-09-15T02:05:32.762385+00:00,18087
irtamc_hmf2_1789129800.txt,hmf2,1789129800,2026-09-15T02:06:06.247863+00:00,18087
irtamc_hmf2_1789130700.txt,hmf2,1789130700,2026-09-15T02:06:25.886867+00:00,18087
irtamc_hmf2_1789131600.txt,hmf2,1789131600,2026-09-15T02:06:42.292149+00:00,18087
irtamc_hmf2_1789132500.txt,hmf2,1789132500,2026-09-15T02:06:58.895445+00:00,18087
irtamc_hmf2_1789133400.txt,hmf2,1789133400,2026-09-15T02:07:14.377936+00:00,18087
irtamc_hmf2_1789134300.txt,hmf2,1789134300,2026-09-15T02:07:31.088667+00:00,18087
irtamc_hmf2_1789135200.txt,hmf2,1789135200,2026-09-15T02:07:47.487930+00:00,18087
irtamc_hmf2_1789136100.txt,hmf2,1789136100,2026-09-15T02:08:03.477101+00:00,18087
irtamc_hmf2_1789137000.txt,hmf2,1789137000,2026-09-15T02:08:20.439747+00:00,18087
irtamc_hmf2_1789137900.txt,hmf2,1789137900,2026-09-15T02:08:36.055395+00:00,18087
irtamc_hmf2_1789138800.txt,hmf2,1789138800,2026-09-15T02:08:51.513669+00:00,18087
irtamc_hmf2_1789139700.txt,hmf2,1789139700,2026-09-15T02:09:06.886937+00:00,18087
irtamc_hmf2_1789140600.txt,hmf2,1789140600,2026-09-15T02:09:22.216800+00:00,18087
irtamc_hmf2_1789141500.txt,hmf2,1789141500,2026-09-15T02:09:37.581832+00:00,18087
irtamc_hmf2_1789142400.txt,hmf2,1789142400,2026-09-15T02:09:53.183199+00:00,18087
irtamc_hmf2_1789143300.txt,hmf2,1789143300,2026-09-15T02:10:09.042349+00:00,18087
irtamc_hmf2_1789144200.txt,hmf2,1789144200,2026-09-15T02:10:25.218271+00:00,18087
irtamc_hmf2_1789145100.txt,hmf2,1789145100,2026-09-15T02:10:40.874355+00:00,18087
irtamc_hmf2_1789146000.txt,hmf2,1789146000,2026-09-15T02:11:16.269902+00:00,18087
irtamc_hmf2_1789146900.txt,hmf2,1789146900,2026-09-15T02:11:33.825330+00:00,18087
irtamc_hmf2_1789147800.txt,hmf2,1789147800,2026-09-15T02:11:50.703839+00:00,18087
irtamc_hmf2_1789148700.txt,hmf2,1789148700,2026-09-15T02:12:06.786194+00:00,18087
irtamc_hmf2_1789149600.txt,hmf2,1789149600,2026-09-15T02:12:22.388082+00:00,18087
irtamc_hmf2_1789150500.txt,hmf2,1789150500,2026-09-15T02:12:37.739647+00:00,18087
irtamc_hmf2_1789151400.txt,hmf2,1789151400,2026-09-15T02:12:54.101744+00:00,18087
irtamc_hmf2_1789152300.txt,hmf2,1789152300,2026-09-15T02:13:10.191143+00:00,18087
irtamc_hmf2_1789153200.txt,hmf2,1789153200,2026-09-15T02:13:25.741819+00:00,18087
irtamc_hmf2_1789154100.txt,hmf2,1789154100,2026-09-15T02:13:42.545049+00:00,18087
irtamc_hmf2_1789155000.txt,hmf2,1789155000,2026-09-15T02:13:58.836682+00:00,18087
irtamc_hmf2_1789155900.txt,hmf2,1789155900,2026-09-15T02:14:16.518626+00:00,18087
irtamc_hmf2_1789156800.txt,hmf2,1789156800,2026-09-15T02:14:32.496755+00:00,18087
irtamc_hmf2_1789157700.txt,hmf2,1789157700,2026-09-15T02:14:48.689907+00:00,18087
irtamc_fof2_1789179300.txt,fof2,1789179300,2026-09-15T02:15:05.994628+00:00,18088
irtamc_hmf2_1789158600.txt,hmf2,1789158600,2026-09-15T02:15:21.990891+00:00,18087
irtamc_hmf2_1789159500.txt,hmf2,1789159500,2026-09-15T02:15:37.835371+00:00,18087
irtamc_hmf2_1789160400.txt,hmf2,1789160400,2026-09-15T02:16:15.133677+00:00,18087
irtamc_hmf2_1789161300.txt,hmf2,1789161300,2026-09-15T02:16:30.878364+00:00,18087
irtamc_hmf2_1789162200.txt,hmf2,1789162200,2026-09-15T02:16:47.101442+00:00,18087
irtamc_hmf2_1789163100.txt,hmf2,1789163100,2026-09-15T02:17:03.043645+00:00,18087
irtamc_hmf2_1789164000.txt,hmf2,1789164000,2026-09-15T02:17:19.783898+00:00,18087
irtamc_hmf2_1789164900.txt,hmf2,1789164900,2026-09-15T02:17:37.786922+00:00,18087
irtamc_hmf2_1789165800.txt,hmf2,1789165800,2026-09-15T02:17:53.459682+00:00,18081
irtamc_hmf2_1789166700.txt,hmf2,1789166700,2026-09-15T02:18:09.806180+00:00,18081
irtamc_hmf2_1789167600.txt,hmf2,1789167600,2026-09-15T02:18:25.691935+00:00,18081
irtamc_hmf2_1789168500.txt,hmf2,1789168500,2026-09-15T02:18:41.490785+00:00,18081
irtamc_hmf2_1789169400.txt,hmf2,1789169400,2026-09-15T02:19:19.278436+00:00,18081
irtamc_hmf2_1789170300.txt,hmf2,1789170300,2026-09-15T02:19:35.216479+00:00,18081
irtamc_hmf2_1789171200.txt,hmf2,1789171200,2026-09-15T02:19:51.539933+00:00,18081
irtamc_hmf2_1789172100.txt,hmf2,1789172100,2026-09-15T02:20:07.503059+00:00,18081
irtamc_hmf2_1789173000.txt,hmf2,1789173000,2026-09-15T02:20:23.361688+00:00,18081
irtamc_hmf2_1789173900.txt,hmf2,1789173900,2026-09-15T02:20:40.383673+00:00,18081
irtamc_hmf2_1789174800.txt,hmf2,1789174800,2026-09-15T02:21:02.994479+00:00,18081
irtamc_hmf2_1789175700.txt,hmf2,1789175700,2026-09-15T02:21:21.289736+00:00,18081
irtamc_hmf2_1789176600.txt,hmf2,1789176600,2026-09-15T02:21:37.202204+00:00,18081
irtamc_hmf2_1789177500.txt,hmf2,1789177500,2026-09-15T02:21:53.584041+00:00,18081
irtamc_hmf2_1789178400.txt,hmf2,1789178400,2026-09-15T02:22:09.642584+00:00,18081
irtamc_hmf2_1789179300.txt,hmf2,1789179300,2026-09-15T02:22:25.620472+00:00,18081
irtamc_fof2_1789180200.txt,fof2,1789180200,2026-09-15T02:33:33.017462+00:00,18088
